1767,,,,,821,Domeinnaambeleid,Websitetest Internet.nl,,,,,,,,,,,E-mailtest Internet.nl,,,,,,,,,565
URL,Organisatietype,Organisatie,Suborganisatie,Afdeling,Bezoeken/mnd,Voldoet,Totaal,IPv6,DNSSEC,HTTPS,CSP,RefPol.,X-Cont.,X-Frame.,SecurityTxt,RPKI,Testdatum,Totaal,IPv6,DNSSEC,STARTTLS en DANE,DMARC,DKIM,SPF,RPKI,Testdatum,Platformgebruik
http://www.rijksoverheid.nl,Rijksoverheid,AZ (Ministerie van Algemene Zaken),DPC (Dienst Publiek en Communicatie),Online Advies,9161789,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.rivm.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",RIVM (Rijksinstituut voor Volksgezondheid en Milieu),,1441164,nee,nee,nee,ja,ja,waarschuwing,ja,ja,ja,info,ja,2024-06-20 20:39:33,nee,nee,ja,,ja,nee,nee,ja,2024-06-13 19:37:23
http://www.nederlandwereldwijd.nl,Rijksoverheid,BZ (Ministerie van Buitenlandse Zaken),,,1020983,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.examenblad.nl,Rijksoverheid,"OCW (Ministerie van Onderwijs, Cultuur en Wetenschap)",CvTE (College voor Toetsen en Examens),,944407,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 21:12:54,nee,ja,ja,,waarschuwing,nee,ja,ja,2024-06-13 19:58:23
http://www.government.nl,Rijksoverheid,AZ (Ministerie van Algemene Zaken),DPC (Dienst Publiek en Communicatie),Online Advies,873407,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.defensie.nl,Rijksoverheid,DEF (Ministerie van Defensie),,Directie Communicatie,872697,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.rijkswaterstaat.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),RWS (Rijkswaterstaat),,871206,ja,nee,nee,ja,ja,waarschuwing,waarschuwing,waarschuwing,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23
http://www.netherlandsworldwide.nl,Rijksoverheid,BZ (Ministerie van Buitenlandse Zaken),,,827690,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.werkenvoornederland.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),O&P Rijk (Organisatie en Personeel Rijk),P-direkt,750377,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,ja,waarschuwing,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Carriere Sites Overheid (BZK)
http://waterinfo.rws.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),RWS (Rijkswaterstaat),,618248,ja,nee,nee,ja,nee,waarschuwing,waarschuwing,ja,info,ja,ja,2024-06-20 18:33:02,ja,ja,ja,,ja,,ja,ja,2024-06-13 18:20:41
http://www.rwsverkeersinfo.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),RWS (Rijkswaterstaat),,557981,ja,nee,nee,ja,nee,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23
http://www.vananaarbeter.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),,BSK/DCO,420411,ja,nee,ja,nee,ja,waarschuwing,ja,ja,ja,waarschuwing,ja,2024-06-20 20:39:33,nee,ja,nee,,ja,nee,nee,ja,2024-06-13 19:37:23
http://www.geneesmiddeleninformatiebank.nl,Overheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",CBG (College ter Beoordeling van Geneesmiddelen),,313850,,ja,ja,ja,ja,waarschuwing,waarschuwing,waarschuwing,info,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23
http://www.nvwa.nl,Rijksoverheid,"LNV (Ministerie van Landbouw, Natuur en Voedselkwaliteit)",NVWA (Nederlandse Voedsel- en Warenautoriteit),,306511,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.om.nl,Overheid,JenV (Ministerie van Justitie en Veiligheid),OM (Openbaar Ministerie),,278645,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.justis.nl,Rijksoverheid,JenV (Ministerie van Justitie en Veiligheid),Justis,,272452,ja,nee,nee,ja,nee,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Blueprint Platform (JenV)
http://rijksvaccinatieprogramma.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",RIVM (Rijksinstituut voor Volksgezondheid en Milieu),,257015,nee,nee,nee,ja,ja,waarschuwing,ja,ja,ja,info,ja,2024-06-20 18:12:22,nee,nee,ja,ja,nee,ja,nee,ja,2024-06-13 18:06:01
http://www.kiesraad.nl,Overheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),Kiesraad,,252386,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://lci.rivm.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",RIVM (Rijksinstituut voor Volksgezondheid en Milieu),,234840,nee,nee,nee,ja,ja,waarschuwing,waarschuwing,ja,ja,waarschuwing,ja,2024-06-20 19:12:43,nee,nee,ja,,ja,nee,nee,ja,2024-06-13 18:47:42
http://www.koninklijkhuis.nl,Overheid,AZ (Ministerie van Algemene Zaken),RVD (Rijksvoorlichtingsdienst),CKH,234438,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.nationaalarchief.nl,Overheid,"OCW (Ministerie van Onderwijs, Cultuur en Wetenschap)",NA (Nationaal Archief),,233935,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,info,ja,2024-06-20 20:39:33,nee,ja,ja,nee,ja,nee,ja,ja,2024-06-13 19:37:23
http://iplo.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),,,189859,ja,nee,nee,ja,nee,waarschuwing,,,,info,ja,2024-06-20 19:12:43,ja,ja,ja,,ja,,ja,ja,2024-06-13 18:47:42
http://www.mijnpgb.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",,Kerndepartement/PG,180101,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.caorijk.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),,DGOO/A&O,178453,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.regelhulp.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",,Kerndepartement/LZ,175769,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:56:14,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:43:03,Platform Rijksoverheid Online (AZ/DPC)
http://www.infomil.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),RWS (Rijkswaterstaat),WVL,168998,ja,nee,nee,ja,nee,waarschuwing,,,,info,ja,2024-06-20 20:56:14,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:43:03
http://www.zorginstituutnederland.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",ZIN (Zorginstituut Nederland),,163281,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.omgevingsloket.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),,,159850,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,waarschuwing,ja,2024-06-20 20:39:33,nee,ja,ja,,ja,nee,nee,ja,2024-06-13 19:37:23
http://www.arboportaal.nl,Rijksoverheid,SZW (Ministerie van Sociale Zaken en Werkgelegenheid),,DGW/G&VW,158604,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.algemenebestuursdienst.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),ABD (Algemene Bestuursdienst),,129133,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.netherlandsandyou.nl,Rijksoverheid,BZ (Ministerie van Buitenlandse Zaken),,,126080,ja,nee,nee,nee,nee,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,nee,ja,nee,,ja,nee,nee,ja,2024-06-13 19:37:23
http://www.higherlevel.nl,Rijksoverheid,EZK (Ministerie van Economische Zaken en Klimaat),RVO (Rijksdienst voor Ondernemend Nederland),,124499,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23
http://www.schadedoormijnbouw.nl,Rijksoverheid,EZK (Ministerie van Economische Zaken en Klimaat),IMG (Instituut Mijnbouwschade Groningen),,123757,ja,nee,ja,nee,nee,waarschuwing,ja,ja,info,ja,ja,2024-06-20 20:39:33,nee,ja,nee,,ja,nee,nee,ja,2024-06-13 19:37:23
http://www.aanpakringzuid.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),RWS (Rijkswaterstaat),,123416,ja,nee,nee,ja,nee,waarschuwing,,,,info,ja,2024-06-20 23:44:18,ja,ja,ja,,ja,,ja,ja,2024-06-13 20:47:44
http://www.onderwijsinspectie.nl,Rijksoverheid,"OCW (Ministerie van Onderwijs, Cultuur en Wetenschap)",IvhO (Inspectie van het Onderwijs),,118585,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.atlasleefomgeving.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),,BSK/DGMI,117358,ja,ja,ja,ja,ja,waarschuwing,ja,ja,info,info,ja,2024-06-20 23:25:57,ja,ja,ja,,ja,,ja,ja,2024-06-13 20:36:44
http://www.p-direkt.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),O&P Rijk (Organisatie en Personeel Rijk),P-direkt,117010,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.bigregister.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",CIBG,,116968,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.cbg-meb.nl,Overheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",CBG (College ter Beoordeling van Geneesmiddelen),,112055,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.huurcommissie.nl,Overheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),Huurcommissie,,110990,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.mycoa.nl,Overheid,JenV (Ministerie van Justitie en Veiligheid),COA (Centraal Orgaan opvang asielzoekers),,110432,,ja,ja,ja,ja,waarschuwing,ja,ja,info,waarschuwing,ja,2024-06-20 20:56:14,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:43:03
http://www.igj.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",IGJ (Inspectie Gezondheidszorg en Jeugd),,104216,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.justid.nl,Rijksoverheid,JenV (Ministerie van Justitie en Veiligheid),Justid (Justitiële Informatiedienst),,103529,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
